#name,mu,dmu,z heliocentric,z cmb,error,ra,dec,survey,type,known error?
2006lu,36.84740067,0.1070000008,0.05445799977,0.05478899926,0,138.822998,-25.60009956,CSP,H,no
2006py,36.9552002,0.1081999987,0.05790000036,0.05613588169,0.0001800000027,340.42521,-0.13692,CSP,H,yes
2007bc,34.7201004,0.1339000016,0.02077000029,0.02158327959,0.0001100000009,169.81071,20.80903,CSP,H,yes
2007ca,34.39419937,0.159799993,0.01413000003,0.01500941999,0.0001500000071,202.77421,-15.10183,CSP,H,yes
2007nq,36.33750153,0.1075000018,0.04503000155,0.04474041983,0.00004999999874,14.38987,-1.38861,CSP,H,yes
2008bq,35.73899841,0.1163000017,0.03401000053,0.03384149075,0.0001400000037,100.26046,-38.03861,CSP,H,yes
2008gp,35.72240067,0.1142000034,0.03341000155,0.03379952908,0.000119999997,50.75304,1.36189,CSP,H,yes
2008hv,33.84260178,0.1605000049,0.0125500001,0.01399238966,0.00007000000187,136.89192,3.39225,CSP,H,yes
1993ac,36.76850128,0.119099997,0.05026200041,0.05046699941,0,86.58865356,63.37398148,CfA1,H,no
1993ae,34.42819977,0.1507000029,0.01793700084,0.01668200083,0,22.45009041,-1.975090027,CfA1,H,no
1994M,35.00859833,0.1295000017,0.0231560003,0.02520699985,0,187.7822876,0.6027799845,CfA1,H,no
1994Q,35.44660187,0.1307999939,0.02956699952,0.02864300087,0,252.4755554,40.42818069,CfA1,H,no
1994S,34.12659836,0.1576000005,0.01524,0.01551848,0.00001,187.8396759,29.13563919,CfA1,H,no
1995ak,34.73059845,0.1369999945,0.02266900055,0.02148899995,0,41.45077133,3.235179901,CfA1,H,no
1996bl,35.82080078,0.1181999967,0.03596299887,0.03393400088,0,9.07365036,11.39694977,CfA1,H,no
1996bv,34.05130005,0.1493999958,0.01667200029,0.01664800011,0,94.04657745,57.05725098,CfA1,H,no
1996C,35.59360123,0.1280999929,0.02701899968,0.02747000009,0,207.7515869,49.34125137,CfA1,H,no
1997dg,35.9598999,0.1203999966,0.03395999968,0.03384400159,0.00004666666667,355.052948,26.20521927,CfA2,H,no
